ICAO,IATA,Airport,Location,Country,,AIRPORT_ID,AIRPORT_DETAILS
KDFW,DFW,Dallas-Fort Worth Intl Airport,"Dallas-Fort Worth, Texas",USA,,,"KDFW/DFW - Dallas-Fort Worth Intl Airport, Dallas-Fort Worth, Texas(USA)"
KDAY,DAY,James M. Cox Dayton Intl Airport,"Dayton, Ohio",USA,,,"KDAY/DAY - James M. Cox Dayton Intl Airport, Dayton, Ohio(USA)"
KDAB,DAB,Daytona Beach Intl Airport,"Daytona Beach, Florida",USA,,,"KDAB/DAB - Daytona Beach Intl Airport, Daytona Beach, Florida(USA)"
PASC,SCC,Deadhorse Airport,"Deadhorse, Alaska",USA,,,"PASC/SCC - Deadhorse Airport, Deadhorse, Alaska(USA)"
KDEC,DEC,Decatur Airport,"Decatur, Illinois",USA,,,"KDEC/DEC - Decatur Airport, Decatur, Illinois(USA)"
KDEN,DEN,Denver Intl Airport,"Denver, Colorado",USA,,,"KDEN/DEN - Denver Intl Airport, Denver, Colorado(USA)"
KDSM,DSM,Des Moines Intl Airport,"Des Moines, Iowa",USA,,,"KDSM/DSM - Des Moines Intl Airport, Des Moines, Iowa(USA)"
KDTW,DTW,Detroit Metropolitan Wayne County Airport,"Detroit, Michigan",USA,,,"KDTW/DTW - Detroit Metropolitan Wayne County Airport, Detroit, Michigan(USA)"
PADL,DLG,Dillingham Airport,"Dillingham, Alaska",USA,,,"PADL/DLG - Dillingham Airport, Dillingham, Alaska(USA)"
KDHN,DHN,Dothan Regional Airport,"Dothan, Alabama",USA,,,"KDHN/DHN - Dothan Regional Airport, Dothan, Alabama(USA)"
KDUJ,DUJ,DuBois-Jefferson County Airport,"DuBois, Pennsylvania",USA,,,"KDUJ/DUJ - DuBois-Jefferson County Airport, DuBois, Pennsylvania(USA)"
KDBQ,DBQ,Dubuque Regional Airport,"Dubuque, Iowa",USA,,,"KDBQ/DBQ - Dubuque Regional Airport, Dubuque, Iowa(USA)"
KDLH,DLH,Duluth Intl Airport,"Duluth, Minnesota",USA,,,"KDLH/DLH - Duluth Intl Airport, Duluth, Minnesota(USA)"
KDRO,DRO,Durango-La Plata County Airport,"Durango, Colorado",USA,,,"KDRO/DRO - Durango-La Plata County Airport, Durango, Colorado(USA)"
KEGE,EGE,Eagle County Regional Airport,"Eagle, Colorado",USA,,,"KEGE/EGE - Eagle County Regional Airport, Eagle, Colorado(USA)"
KEAU,EAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin",USA,,,"KEAU/EAU - Chippewa Valley Regional Airport, Eau Claire, Wisconsin(USA)"
KELP,ELP,El Paso Intl Airport,"El Paso, Texas",USA,,,"KELP/ELP - El Paso Intl Airport, El Paso, Texas(USA)"
KEKO,EKO,Elko Regional Airport (J.C. Harris Field),"Elko, Nevada",USA,,,"KEKO/EKO - Elko Regional Airport (J.C. Harris Field), Elko, Nevada(USA)"
KELM,ELM,Elmira/Corning Regional Airport,"Elmira, New York",USA,,,"KELM/ELM - Elmira/Corning Regional Airport, Elmira, New York(USA)"
KERI,ERI,Erie Intl Airport (Tom Ridge Field),"Erie, Pennsylvania",USA,,,"KERI/ERI - Erie Intl Airport (Tom Ridge Field), Erie, Pennsylvania(USA)"
KEUG,EUG,Eugene Airport (Mahlon Sweet Field),"Eugene, Oregon",USA,,,"KEUG/EUG - Eugene Airport (Mahlon Sweet Field), Eugene, Oregon(USA)"
KEVV,EVV,Evansville Regional Airport,"Evansville , Indiana",USA,,,"KEVV/EVV - Evansville Regional Airport, Evansville , Indiana(USA)"
PAFA,FAI,Fairbanks Intl Airport,"Fairbanks, Alaska",USA,,,"PAFA/FAI - Fairbanks Intl Airport, Fairbanks, Alaska(USA)"
KFAR,FAR,Hector Intl Airport,"Fargo, North Dakota",USA,,,"KFAR/FAR - Hector Intl Airport, Fargo, North Dakota(USA)"
KFMN,FMN,Four Corners Regional Airport,"Farmington, New Mexico",USA,,,"KFMN/FMN - Four Corners Regional Airport, Farmington, New Mexico(USA)"
KXNA,XNA,Northwest Arkansas Regional Airport,"Fayetteville, Arkansas",USA,,,"KXNA/XNA - Northwest Arkansas Regional Airport, Fayetteville, Arkansas(USA)"
KFAY,FAY,Fayetteville Regional Airport (Grannis Field),"Fayetteville, North Carolina",USA,,,"KFAY/FAY - Fayetteville Regional Airport (Grannis Field), Fayetteville, North Carolina(USA)"
KFLG,FLG,Flagstaff Pulliam Airport,"Flagstaff, Arizona",USA,,,"KFLG/FLG - Flagstaff Pulliam Airport, Flagstaff, Arizona(USA)"
KFNT,FNT,Bishop Intl Airport,"Flint, Michigan",USA,,,"KFNT/FNT - Bishop Intl Airport, Flint, Michigan(USA)"
KFLO,FLO,Florence Regional Airport,"Florence, South Carolina",USA,,,"KFLO/FLO - Florence Regional Airport, Florence, South Carolina(USA)"
KFLL,FLL,Fort Lauderdale-Hollywood Intl Airport,"Fort Lauderdale, Florida",USA,,,"KFLL/FLL - Fort Lauderdale-Hollywood Intl Airport, Fort Lauderdale, Florida(USA)"
KRSW,RSW,Southwest Florida Intl Airport,"Fort Myers, Florida",USA,,,"KRSW/RSW - Southwest Florida Intl Airport, Fort Myers, Florida(USA)"
KFSM,FSM,Fort Smith Regional Airport,"Fort Smith, Arkansas",USA,,,"KFSM/FSM - Fort Smith Regional Airport, Fort Smith, Arkansas(USA)"
KFWA,FWA,Fort Wayne Intl Airport,"Fort Wayne, Indiana",USA,,,"KFWA/FWA - Fort Wayne Intl Airport, Fort Wayne, Indiana(USA)"
KFAT,FAT,Fresno Yosemite Intl Airport,"Fresno, California",USA,,,"KFAT/FAT - Fresno Yosemite Intl Airport, Fresno, California(USA)"
KFHR,FHR,Friday Harbor Airport,"Friday Harbor, Washington",USA,,,"KFHR/FHR - Friday Harbor Airport, Friday Harbor, Washington(USA)"
KGNV,GNV,Gainesville Regional Airport,"Gainesville, Florida",USA,,,"KGNV/GNV - Gainesville Regional Airport, Gainesville, Florida(USA)"
PAGA,GAL,Edward G. Pitka Sr. Airport,"Galena, Alaska",USA,,,"PAGA/GAL - Edward G. Pitka Sr. Airport, Galena, Alaska(USA)"
KGCC,GCC,Gillette-Campbell County Airport,"Gillette, Wyoming",USA,,,"KGCC/GCC - Gillette-Campbell County Airport, Gillette, Wyoming(USA)"
KGFK,GFK,Grand Forks Intl Airport,"Grand Forks, North Dakota",USA,,,"KGFK/GFK - Grand Forks Intl Airport, Grand Forks, North Dakota(USA)"
KGJT,GJT,Walker Field Airport,"Grand Junction, Colorado",USA,,,"KGJT/GJT - Walker Field Airport, Grand Junction, Colorado(USA)"
KGRR,GRR,Gerald R. Ford Intl Airport,"Grand Rapids, Michigan",USA,,,"KGRR/GRR - Gerald R. Ford Intl Airport, Grand Rapids, Michigan(USA)"
KGTF,GTF,Great Falls Intl Airport,"Great Falls, Montana",USA,,,"KGTF/GTF - Great Falls Intl Airport, Great Falls, Montana(USA)"
KGRB,GRB,Austin Straubel Intl Airport,"Green Bay, Wisconsin",USA,,,"KGRB/GRB - Austin Straubel Intl Airport, Green Bay, Wisconsin(USA)"
KGSO,GSO,Piedmont Triad Intl Airport,"Greensboro, North Carolina",USA,,,"KGSO/GSO - Piedmont Triad Intl Airport, Greensboro, North Carolina(USA)"
KPGV,PGV,Pitt-Greenville Airport,"Greenville, North Carolina",USA,,,"KPGV/PGV - Pitt-Greenville Airport, Greenville, North Carolina(USA)"
KGSP,GSP,Greenville-Spartanburg Intl Airport,"Greer, South Carolina",USA,,,"KGSP/GSP - Greenville-Spartanburg Intl Airport, Greer, South Carolina(USA)"
KGPT,GPT,Gulfport-Biloxi Intl Airport,"Gulfport, Mississippi",USA,,,"KGPT/GPT - Gulfport-Biloxi Intl Airport, Gulfport, Mississippi(USA)"
KGUC,GUC,Gunnison-Crested Butte Regional Airport,"Gunnison, Colorado",USA,,,"KGUC/GUC - Gunnison-Crested Butte Regional Airport, Gunnison, Colorado(USA)"
KHGR,HGR,Hagerstown Regional Airport (Richard A. Henson Field),"Hagerstown, Maryland",USA,,,"KHGR/HGR - Hagerstown Regional Airport (Richard A. Henson Field), Hagerstown, Maryland(USA)"
KSUN,SUN,Friedman Memorial Airport,"Hailey, Idaho",USA,,,"KSUN/SUN - Friedman Memorial Airport, Hailey, Idaho(USA)"
PHHN,HNM,Hana Airport,"Hana, Hawaii",USA,,,"PHHN/HNM - Hana Airport, Hana, Hawaii(USA)"
KCMX,CMX,Houghton County Memorial Airport,"Hancock, Michigan",USA,,,"KCMX/CMX - Houghton County Memorial Airport, Hancock, Michigan(USA)"
KHRL,HRL,Valley Intl Airport,"Harlingen, Texas",USA,,,"KHRL/HRL - Valley Intl Airport, Harlingen, Texas(USA)"
KMDT,MDT,Harrisburg Intl Airport,"Harrisburg, Pennsylvania",USA,,,"KMDT/MDT - Harrisburg Intl Airport, Harrisburg, Pennsylvania(USA)"
KPIB,PIB,Hattiesburg-Laurel Regional Airport,"Hattiesburg, Mississippi",USA,,,"KPIB/PIB - Hattiesburg-Laurel Regional Airport, Hattiesburg, Mississippi(USA)"
KHDN,HDN,Yampa Valley Airport,"Hayden, Colorado",USA,,,"KHDN/HDN - Yampa Valley Airport, Hayden, Colorado(USA)"
KHLN,HLN,Helena Regional Airport,"Helena, Montana",USA,,,"KHLN/HLN - Helena Regional Airport, Helena, Montana(USA)"
PHTO,ITO,Hilo Intl Airport,"Hilo, Hawaii",USA,,,"PHTO/ITO - Hilo Intl Airport, Hilo, Hawaii(USA)"
KHXD,HXD,Hilton Head Airport,"Hilton Head Island, South Carolina",USA,,,"KHXD/HXD - Hilton Head Airport, Hilton Head Island, South Carolina(USA)"
PAHO,HOM,Homer Airport,"Homer, Alaska",USA,,,"PAHO/HOM - Homer Airport, Homer, Alaska(USA)"
PHNL,HNL,Honolulu Intl Airport (Civil/Mil.),"Honolulu, Hawaii",USA,,,"PHNL/HNL - Honolulu Intl Airport (Civil/Mil.), Honolulu, Hawaii(USA)"
KEFD,EFD,Ellington Field,"Houston, Texas",USA,,,"KEFD/EFD - Ellington Field, Houston, Texas(USA)"
KHOU,HOU,William P. Hobby Airport,"Houston, Texas",USA,,,"KHOU/HOU - William P. Hobby Airport, Houston, Texas(USA)"
KIAH,IAH,George Bush Intercontinental Airport,"Houston, Texas",USA,,,"KIAH/IAH - George Bush Intercontinental Airport, Houston, Texas(USA)"
KHTS,HTS,Tri-State Airport (Milton J. Ferguson Field),"Huntington, West Virginia",USA,,,"KHTS/HTS - Tri-State Airport (Milton J. Ferguson Field), Huntington, West Virginia(USA)"
KHSV,HSV,Huntsville Intl Airport (Carl T. Jones Field),"Huntsville, Alabama",USA,,,"KHSV/HSV - Huntsville Intl Airport (Carl T. Jones Field), Huntsville, Alabama(USA)"
KHYA,HYA,Barnstable Municipal Airport (Boardman/Polando Field),"Hyannis, Massachusetts",USA,,,"KHYA/HYA - Barnstable Municipal Airport (Boardman/Polando Field), Hyannis, Massachusetts(USA)"
KIDA,IDA,Idaho Falls Regional Airport (Fanning Field),"Idaho Falls, Idaho",USA,,,"KIDA/IDA - Idaho Falls Regional Airport (Fanning Field), Idaho Falls, Idaho(USA)"
KIPL,IPL,Imperial County Airport,"Imperial, California",USA,,,"KIPL/IPL - Imperial County Airport, Imperial, California(USA)"
KIND,IND,Indianapolis Intl Airport,"Indianapolis, Indiana",USA,,,"KIND/IND - Indianapolis Intl Airport, Indianapolis, Indiana(USA)"
KINL,INL,Falls Intl Airport,"Intl Falls, Minnesota",USA,,,"KINL/INL - Falls Intl Airport, Intl Falls, Minnesota(USA)"
KIYK,IYK,Inyokern Airport,"Inyokern, California",USA,,,"KIYK/IYK - Inyokern Airport, Inyokern, California(USA)"
KISP,ISP,Long Island MacArthur Airport,"Islip, New York",USA,,,"KISP/ISP - Long Island MacArthur Airport, Islip, New York(USA)"
KITH,ITH,Ithaca Tompkins Regional Airport,"Ithaca, New York",USA,,,"KITH/ITH - Ithaca Tompkins Regional Airport, Ithaca, New York(USA)"
KJAN,JAN,Jackson-Evers Intl Airport,"Jackson, Mississippi",USA,,,"KJAN/JAN - Jackson-Evers Intl Airport, Jackson, Mississippi(USA)"
KJAC,JAC,Jackson Hole Airport,"Jackson, Wyoming",USA,,,"KJAC/JAC - Jackson Hole Airport, Jackson, Wyoming(USA)"
KJAX,JAX,Jacksonville Intl Airport,"Jacksonville, Florida",USA,,,"KJAX/JAX - Jacksonville Intl Airport, Jacksonville, Florida(USA)"
KOAJ,OAJ,Albert J. Ellis Airport,"Jacksonville, North Carolina",USA,,,"KOAJ/OAJ - Albert J. Ellis Airport, Jacksonville, North Carolina(USA)"
KJHW,JHW,Chautauqua County/Jamestown Airport,"Jamestown, New York",USA,,,"KJHW/JHW - Chautauqua County/Jamestown Airport, Jamestown, New York(USA)"
KJST,JST,John Murtha Johnstown-Cambria County Airport,"Johnstown, Pennsylvania",USA,,,"KJST/JST - John Murtha Johnstown-Cambria County Airport, Johnstown, Pennsylvania(USA)"
KJLN,JLN,Joplin Regional Airport,"Joplin, Missouri",USA,,,"KJLN/JLN - Joplin Regional Airport, Joplin, Missouri(USA)"
PAJN,JNU,Juneau Intl Airport,"Juneau, Alaska",USA,,,"PAJN/JNU - Juneau Intl Airport, Juneau, Alaska(USA)"
PHOG,OGG,Kahului Airport,"Kahului, Hawaii",USA,,,"PHOG/OGG - Kahului Airport, Kahului, Hawaii(USA)"
PHKO,KOA,Kona Intl Airport at Keahole,"Kailua / Kona, Hawaii",USA,,,"PHKO/KOA - Kona Intl Airport at Keahole, Kailua / Kona, Hawaii(USA)"
KAZO,AZO,Kalamazoo/Battle Creek Intl Airport,"Kalamazoo, Michigan",USA,,,"KAZO/AZO - Kalamazoo/Battle Creek Intl Airport, Kalamazoo, Michigan(USA)"
KGPI,GPI,Glacier Park Intl Airport,"Kalispell, Montana",USA,,,"KGPI/GPI - Glacier Park Intl Airport, Kalispell, Montana(USA)"
KMCI,MCI,Kansas City Intl Airport,"Kansas City, Missouri",USA,,,"KMCI/MCI - Kansas City Intl Airport, Kansas City, Missouri(USA)"
PHMK,MKK,Molokai Airport,"Kaunakakai, Hawaii",USA,,,"PHMK/MKK - Molokai Airport, Kaunakakai, Hawaii(USA)"
PAEN,ENA,Kenai Municipal Airport,"Kenai, Alaska",USA,,,"PAEN/ENA - Kenai Municipal Airport, Kenai, Alaska(USA)"
PAKT,KTN,Ketchikan Intl Airport,"Ketchikan, Alaska",USA,,,"PAKT/KTN - Ketchikan Intl Airport, Ketchikan, Alaska(USA)"
KEYW,EYW,Key West Intl Airport,"Key West, Florida",USA,,,"KEYW/EYW - Key West Intl Airport, Key West, Florida(USA)"
KGRK,GRK,Killeen-Fort Hood Regional Airport (R. Gray Army Airfield),"Killeen, Texas",USA,,,"KGRK/GRK - Killeen-Fort Hood Regional Airport (R. Gray Army Airfield), Killeen, Texas(USA)"
PAKN,AKN,King Salmon Airport,"King Salmon, Alaska",USA,,,"PAKN/AKN - King Salmon Airport, King Salmon, Alaska(USA)"
KLMT,LMT,Klamath Falls Airport (Kingsley Field),"Klamath Falls, Oregon",USA,,,"KLMT/LMT - Klamath Falls Airport (Kingsley Field), Klamath Falls, Oregon(USA)"
KTYS,TYS,McGhee Tyson Airport,"Knoxville, Tennessee",USA,,,"KTYS/TYS - McGhee Tyson Airport, Knoxville, Tennessee(USA)"
PADQ,ADQ,Kodiak Airport,"Kodiak, Alaska",USA,,,"PADQ/ADQ - Kodiak Airport, Kodiak, Alaska(USA)"
PAOT,OTZ,Ralph Wien Memorial Airport,"Kotzebue, Alaska",USA,,,"PAOT/OTZ - Ralph Wien Memorial Airport, Kotzebue, Alaska(USA)"
KLSE,LSE,La Crosse Municipal Airport,"La Crosse, Wisconsin",USA,,,"KLSE/LSE - La Crosse Municipal Airport, La Crosse, Wisconsin(USA)"
KLAF,LAF,Purdue University Airport,"Lafayette, Indiana",USA,,,"KLAF/LAF - Purdue University Airport, Lafayette, Indiana(USA)"
KLFT,LFT,Lafayette Regional Airport,"Lafayette, Louisiana",USA,,,"KLFT/LFT - Lafayette Regional Airport, Lafayette, Louisiana(USA)"
KLCH,LCH,Lake Charles Regional Airport,"Lake Charles, Louisiana",USA,,,"KLCH/LCH - Lake Charles Regional Airport, Lake Charles, Louisiana(USA)"
PHNY,LNY,Lanai Airport,"Lanai City, Hawaii",USA,,,"PHNY/LNY - Lanai Airport, Lanai City, Hawaii(USA)"
KLNS,LNS,Lancaster Airport,"Lancaster, Pennsylvania",USA,,,"KLNS/LNS - Lancaster Airport, Lancaster, Pennsylvania(USA)"
KLAN,LAN,Capital City Airport,"Lansing, Michigan",USA,,,"KLAN/LAN - Capital City Airport, Lansing, Michigan(USA)"
KLRD,LRD,Laredo Intl Airport,"Laredo, Texas",USA,,,"KLRD/LRD - Laredo Intl Airport, Laredo, Texas(USA)"
KLAS,LAS,McCarran Intl Airport,"Las Vegas, Nevada",USA,,,"KLAS/LAS - McCarran Intl Airport, Las Vegas, Nevada(USA)"
KVGT,VGT,North Las Vegas Airport,"Las Vegas, Nevada",USA,,,"KVGT/VGT - North Las Vegas Airport, Las Vegas, Nevada(USA)"
KLBE,LBE,Arnold Palmer Regional Airport,"Latrobe, Pennsylvania",USA,,,"KLBE/LBE - Arnold Palmer Regional Airport, Latrobe, Pennsylvania(USA)"
KLAW,LAW,Lawton-Fort Sill Regional Airport,"Lawton , Oklahoma",USA,,,"KLAW/LAW - Lawton-Fort Sill Regional Airport, Lawton , Oklahoma(USA)"
KLWS,LWS,Lewiston-Nez Perce County Airport,"Lewiston, Idaho",USA,,,"KLWS/LWS - Lewiston-Nez Perce County Airport, Lewiston, Idaho(USA)"
KLEX,LEX,Blue Grass Airport,"Lexington, Kentucky",USA,,,"KLEX/LEX - Blue Grass Airport, Lexington, Kentucky(USA)"
PHLI,LIH,Lihue Airport,"Lihue, Hawaii",USA,,,"PHLI/LIH - Lihue Airport, Lihue, Hawaii(USA)"
KLNK,LNK,Lincoln Airport,"Lincoln, Nebraska",USA,,,"KLNK/LNK - Lincoln Airport, Lincoln, Nebraska(USA)"
KLIT,LIT,Little Rock National Airport (Adams Field),"Little Rock, Arkansas",USA,,,"KLIT/LIT - Little Rock National Airport (Adams Field), Little Rock, Arkansas(USA)"
KLGB,LGB,Long Beach Municipal Airport (Daugherty Field),"Long Beach, California",USA,,,"KLGB/LGB - Long Beach Municipal Airport (Daugherty Field), Long Beach, California(USA)"
KGGG,GGG,East Texas Regional Airport,"Longview, Texas",USA,,,"KGGG/GGG - East Texas Regional Airport, Longview, Texas(USA)"
KLAX,LAX,Los Angeles Intl Airport,"Los Angeles, California",USA,,,"KLAX/LAX - Los Angeles Intl Airport, Los Angeles, California(USA)"
KSDF,SDF,Louisville Intl Airport (Standiford Field),"Louisville, Kentucky",USA,,,"KSDF/SDF - Louisville Intl Airport (Standiford Field), Louisville, Kentucky(USA)"
KLBB,LBB,Lubbock Preston Smith Intl Airport,"Lubbock, Texas",USA,,,"KLBB/LBB - Lubbock Preston Smith Intl Airport, Lubbock, Texas(USA)"
KLYH,LYH,Lynchburg Regional Airport (Preston Glenn Field),"Lynchburg, Virginia",USA,,,"KLYH/LYH - Lynchburg Regional Airport (Preston Glenn Field), Lynchburg, Virginia(USA)"
KMCN,MCN,Middle Georgia Regional Airport,"Macon, Georgia",USA,,,"KMCN/MCN - Middle Georgia Regional Airport, Macon, Georgia(USA)"
KMSN,MSN,Dane County Regional Airport (Truax Field),"Madison, Wisconsin",USA,,,"KMSN/MSN - Dane County Regional Airport (Truax Field), Madison, Wisconsin(USA)"
KMHT,MHT,Manchester-Boston Regional Airport,"Manchester, New Hampshire",USA,,,"KMHT/MHT - Manchester-Boston Regional Airport, Manchester, New Hampshire(USA)"
KMHK,MHK,Manhattan Regional Airport,"Manhattan, Kansas",USA,,,"KMHK/MHK - Manhattan Regional Airport, Manhattan, Kansas(USA)"
KMKT,MKT,Mankato Regional Airport,"Mankato, Minnesota",USA,,,"KMKT/MKT - Mankato Regional Airport, Mankato, Minnesota(USA)"
KMWA,MWA,Williamson County Regional Airport,"Marion, Illinois",USA,,,"KMWA/MWA - Williamson County Regional Airport, Marion, Illinois(USA)"
KSAW,SAW,Sawyer Intl Airport (IATA code: MQT),"Marquette, Michigan",USA,,,"KSAW/SAW - Sawyer Intl Airport (IATA code: MQT), Marquette, Michigan(USA)"
KMCW,MCW,Mason City Municipal Airport,"Mason City, Iowa",USA,,,"KMCW/MCW - Mason City Municipal Airport, Mason City, Iowa(USA)"
KMFE,MFE,McAllen-Miller Intl Airport,"McAllen,, Texas",USA,,,"KMFE/MFE - McAllen-Miller Intl Airport, McAllen,, Texas(USA)"
KMFR,MFR,Rogue Valley Intl-Medford Airport,"Medford, Oregon",USA,,,"KMFR/MFR - Rogue Valley Intl-Medford Airport, Medford, Oregon(USA)"
KMLB,MLB,Melbourne Intl Airport,"Melbourne, Florida",USA,,,"KMLB/MLB - Melbourne Intl Airport, Melbourne, Florida(USA)"
KMEM,MEM,Memphis Intl Airport,"Memphis, Tennessee",USA,,,"KMEM/MEM - Memphis Intl Airport, Memphis, Tennessee(USA)"
KMEI,MEI,Meridian Regional Airport (Key Field),"Meridian, Mississippi",USA,,,"KMEI/MEI - Meridian Regional Airport (Key Field), Meridian, Mississippi(USA)"
KMIA,MIA,Miami Intl Airport,"Miami, Florida",USA,,,"KMIA/MIA - Miami Intl Airport, Miami, Florida(USA)"
KMAF,MAF,Midland Intl Airport,"Midland, Texas",USA,,,"KMAF/MAF - Midland Intl Airport, Midland, Texas(USA)"
KMKE,MKE,General Mitchell Intl Airport,"Milwaukee, Wisconsin",USA,,,"KMKE/MKE - General Mitchell Intl Airport, Milwaukee, Wisconsin(USA)"
KMSP,MSP,Minneapolis-St. Paul Intl Airport,"Minneapolis, Minnesota",USA,,,"KMSP/MSP - Minneapolis-St. Paul Intl Airport, Minneapolis, Minnesota(USA)"
KMOT,MOT,Minot Intl Airport,"Minot, North Dakota",USA,,,"KMOT/MOT - Minot Intl Airport, Minot, North Dakota(USA)"
KMSO,MSO,Missoula Intl Airport,"Missoula, Montana",USA,,,"KMSO/MSO - Missoula Intl Airport, Missoula, Montana(USA)"
KMOB,MOB,Mobile Regional Airport,"Mobile, Alabama",USA,,,"KMOB/MOB - Mobile Regional Airport, Mobile, Alabama(USA)"
KMOD,MOD,Modesto City-County Airport (Harry Sham Field),"Modesto, California",USA,,,"KMOD/MOD - Modesto City-County Airport (Harry Sham Field), Modesto, California(USA)"
KMLI,MLI,Quad City Intl Airport,"Moline, Illinois",USA,,,"KMLI/MLI - Quad City Intl Airport, Moline, Illinois(USA)"
KMLU,MLU,Monroe Regional Airport,"Monroe, Louisiana",USA,,,"KMLU/MLU - Monroe Regional Airport, Monroe, Louisiana(USA)"
KMRY,MRY,Monterey Peninsula Airport,"Monterey, California",USA,,,"KMRY/MRY - Monterey Peninsula Airport, Monterey, California(USA)"
KMGM,MGM,Montgomery Regional Airport (Dannelly Field),"Montgomery, Alabama",USA,,,"KMGM/MGM - Montgomery Regional Airport (Dannelly Field), Montgomery, Alabama(USA)"
KMTJ,MTJ,Montrose Regional Airport,"Montrose, Colorado",USA,,,"KMTJ/MTJ - Montrose Regional Airport, Montrose, Colorado(USA)"
KMGW,MGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),"Morgantown, West Virginia",USA,,,"KMGW/MGW - Morgantown Municipal Airport (Walter L. Bill Hart Field), Morgantown, West Virginia(USA)"
KCWA,CWA,Central Wisconsin Airport,"Mosinee, Wisconsin",USA,,,"KCWA/CWA - Central Wisconsin Airport, Mosinee, Wisconsin(USA)"
KMKG,MKG,Muskegon County Airport,"Muskegon, Michigan",USA,,,"KMKG/MKG - Muskegon County Airport, Muskegon, Michigan(USA)"
KMYR,MYR,Myrtle Beach Intl Airport,"Myrtle Beach, South Carolina",USA,,,"KMYR/MYR - Myrtle Beach Intl Airport, Myrtle Beach, South Carolina(USA)"
KACK,ACK,Nantucket Memorial Airport,"Nantucket, Massachusetts",USA,,,"KACK/ACK - Nantucket Memorial Airport, Nantucket, Massachusetts(USA)"
KAPF,APF,Naples Municipal Airport,"Naples, Florida",USA,,,"KAPF/APF - Naples Municipal Airport, Naples, Florida(USA)"
KBNA,BNA,Nashville Intl Airport (Berry Field),"Nashville, Tennessee",USA,,,"KBNA/BNA - Nashville Intl Airport (Berry Field), Nashville, Tennessee(USA)"
KEWB,EWB,New Bedford Regional Airport,"New Bedford, Massachusetts",USA,,,"KEWB/EWB - New Bedford Regional Airport, New Bedford, Massachusetts(USA)"
KEWN,EWN,Craven County Regional Airport,"New Bern, North Carolina",USA,,,"KEWN/EWN - Craven County Regional Airport, New Bern, North Carolina(USA)"
KHVN,HVN,Tweed-New Haven Airport,"New Haven, Connecticut",USA,,,"KHVN/HVN - Tweed-New Haven Airport, New Haven, Connecticut(USA)"
KMSY,MSY,Louis Armstrong New Orleans Intl Airport,"New Orleans, Louisiana",USA,,,"KMSY/MSY - Louis Armstrong New Orleans Intl Airport, New Orleans, Louisiana(USA)"
KJFK,JFK,John F. Kennedy Intl Airport,"New York, New York",USA,,,"KJFK/JFK - John F. Kennedy Intl Airport, New York, New York(USA)"
KLGA,LGA,LaGuardia Airport,"New York, New York",USA,,,"KLGA/LGA - LaGuardia Airport, New York, New York(USA)"
KEWR,EWR,Newark Liberty Intl Airport,"Newark, New Jersey",USA,,,"KEWR/EWR - Newark Liberty Intl Airport, Newark, New Jersey(USA)"
KSWF,SWF,Stewart Intl Airport,"Newburgh, New York",USA,,,"KSWF/SWF - Stewart Intl Airport, Newburgh, New York(USA)"
KPHF,PHF,Newport News/Williamsburg Intl Airport,"Newport News, Virginia",USA,,,"KPHF/PHF - Newport News/Williamsburg Intl Airport, Newport News, Virginia(USA)"
PAOM,OME,Nome Airport,"Nome, Alaska",USA,,,"PAOM/OME - Nome Airport, Nome, Alaska(USA)"
KORF,ORF,Norfolk Intl Airport,"Norfolk, Virginia",USA,,,"KORF/ORF - Norfolk Intl Airport, Norfolk, Virginia(USA)"
KOTH,OTH,Southwest Oregon Regional Airport (was North Bend Municipal),"North Bend, Oregon",USA,,,"KOTH/OTH - Southwest Oregon Regional Airport (was North Bend Municipal), North Bend, Oregon(USA)"
KOAK,OAK,Metropolitan Oakland Intl Airport,"Oakland, California",USA,,,"KOAK/OAK - Metropolitan Oakland Intl Airport, Oakland, California(USA)"
KOKC,OKC,Will Rogers World Airport,"Oklahoma City, Oklahoma",USA,,,"KOKC/OKC - Will Rogers World Airport, Oklahoma City, Oklahoma(USA)"
KOMA,OMA,Eppley Airfield,"Omaha, Nebraska",USA,,,"KOMA/OMA - Eppley Airfield, Omaha, Nebraska(USA)"
KONT,ONT,Ontario Intl Airport,"Ontario, California",USA,,,"KONT/ONT - Ontario Intl Airport, Ontario, California(USA)"
KSFB,SFB,Orlando Sanford Intl Airport,"Orlando, Florida",USA,,,"KSFB/SFB - Orlando Sanford Intl Airport, Orlando, Florida(USA)"
KMCO,MCO,Orlando Intl Airport,"Orlando, Florida",USA,,,"KMCO/MCO - Orlando Intl Airport, Orlando, Florida(USA)"
KOXR,OXR,Oxnard Airport,"Oxnard, California",USA,,,"KOXR/OXR - Oxnard Airport, Oxnard, California(USA)"
KPAH,PAH,Barkley Regional Airport,"Paducah, Kentucky",USA,,,"KPAH/PAH - Barkley Regional Airport, Paducah, Kentucky(USA)"
KPGA,PGA,Page Municipal Airport,"Page, Arizona",USA,,,"KPGA/PGA - Page Municipal Airport, Page, Arizona(USA)"
KPSP,PSP,Palm Springs Intl Airport,"Palm Springs, California",USA,,,"KPSP/PSP - Palm Springs Intl Airport, Palm Springs, California(USA)"
